dataset,repeat,method,final_accuracy,AULC,runtime_seconds
gaussdist_hard_variable,26,DISTMARGIN,0.5555555555555556,0.7548185941043084,0.11215180158615112
gaussdist_hard_variable,26,HILB-DENSITY,0.5,0.5048185941043084,0.10228240210562944
gaussdist_hard_variable,26,DISTRAND,0.8333333333333334,0.701530612244898,0.08669359935447574
gaussdist_hard_variable,27,TC-BKME-PMAL,0.8888888888888888,0.8234126984126984,0.10595239931717515
gaussdist_hard_variable,27,TC-noReliability,0.9027777777777778,0.8231292517006803,0.10496280156075954
gaussdist_hard_variable,27,TC-noDensity,0.9166666666666666,0.7732426303854875,0.1069263992831111
gaussdist_hard_variable,27,PMARLDS-lite,0.9305555555555556,0.7596371882086169,0.11214199988171458
gaussdist_hard_variable,27,DISTMARGIN,0.9027777777777778,0.7774943310657596,0.1103117004968226
gaussdist_hard_variable,27,HILB-DENSITY,0.5,0.5017006802721089,0.09923389926552773
gaussdist_hard_variable,27,DISTRAND,0.8888888888888888,0.7117346938775511,0.08211050229147077
gaussdist_hard_variable,28,TC-BKME-PMAL,0.8888888888888888,0.7437641723356009,0.11028369702398777
gaussdist_hard_variable,28,TC-noReliability,0.8333333333333334,0.6547619047619048,0.10860059875994921
gaussdist_hard_variable,28,TC-noDensity,0.8888888888888888,0.748299319727891,0.11501550022512674
gaussdist_hard_variable,28,PMARLDS-lite,0.8888888888888888,0.6907596371882087,0.11791459983214736
gaussdist_hard_variable,28,DISTMARGIN,0.8888888888888888,0.7548185941043083,0.11357250111177564
gaussdist_hard_variable,28,HILB-DENSITY,0.5,0.5034013605442177,0.10212110076099634
gaussdist_hard_variable,28,DISTRAND,0.8194444444444444,0.5941043083900226,0.084478001575917
gaussdist_hard_variable,29,TC-BKME-PMAL,0.8333333333333334,0.7267573696145125,0.10982039710506797
gaussdist_hard_variable,29,TC-noReliability,0.7916666666666666,0.5617913832199547,0.10128250112757087
gaussdist_hard_variable,29,TC-noDensity,0.8055555555555556,0.7372448979591837,0.1058347993530333
gaussdist_hard_variable,29,PMARLDS-lite,0.8194444444444444,0.7310090702947846,0.10650320025160909
gaussdist_hard_variable,29,DISTMARGIN,0.8055555555555556,0.7304421768707481,0.10564130079001188
gaussdist_hard_variable,29,HILB-DENSITY,0.5,0.5048185941043084,0.10300059849396348
gaussdist_hard_variable,29,DISTRAND,0.7916666666666666,0.6493764172335601,0.09405490010976791
gaussdist_hard_variable,30,TC-BKME-PMAL,0.8333333333333334,0.7174036281179138,0.10987949836999178
gaussdist_hard_variable,30,TC-noReliability,0.8888888888888888,0.679705215419501,0.1153455013409257
