dataset,method,final_accuracy,std_final,AULC,mean_runtime_seconds
digitdist_5v6,PMARLDS-lite,0.965277777777778,0.0215613537448055,0.7441213151927438,0.1236616999283432
digitdist_5v6,DISTMARGIN,0.9455555555555556,0.0567129440665123,0.7719954648526078,0.1226341501716524
digitdist_5v6,HILB-DENSITY,0.6697222222222223,0.1689265765698368,0.5630555555555555,0.1219943958707153
digitdist_5v6,DISTRAND,0.7130555555555556,0.1594892020030057,0.5762698412698413,0.0968880437407642
gaussdist_equal,TC-BKME-PMAL,0.9858333333333336,0.0153382641025316,0.928452380952381,0.1089539581071585
gaussdist_equal,TC-noReliability,0.9855555555555556,0.0154560308258261,0.9261054421768709,0.1086182499304413
gaussdist_equal,TC-noDensity,0.9863888888888892,0.014024339512627,0.923356009070295,0.1081117581855505
gaussdist_equal,PMARLDS-lite,0.9858333333333336,0.0148266734945361,0.9220748299319732,0.1087097501568496
gaussdist_equal,DISTMARGIN,0.982777777777778,0.0140435829552939,0.9305385487528344,0.1085460257250815
gaussdist_equal,HILB-DENSITY,0.6633333333333333,0.1520325257597495,0.5278854875283447,0.0992105057649314
gaussdist_equal,DISTRAND,0.9819444444444444,0.0150231303144332,0.8821145124716553,0.0831680082529783
gaussdist_hard_equal,TC-BKME-PMAL,0.873611111111111,0.0422414064604043,0.7688775510204082,0.1105475379899144
gaussdist_hard_equal,TC-noReliability,0.8711111111111112,0.0389919269897035,0.7412358276643991,0.1095121462922543
gaussdist_hard_equal,TC-noDensity,0.6908333333333334,0.169075417827608,0.5850850340136055,0.1030277879536151
gaussdist_hard_equal,PMARLDS-lite,0.8697222222222223,0.0480234317807463,0.7417460317460319,0.1100545281823724
gaussdist_hard_equal,DISTMARGIN,0.8688888888888888,0.0503965754274515,0.7718197278911565,0.1095398160628974
gaussdist_hard_equal,HILB-DENSITY,0.5005555555555555,0.0038888888888888,0.5034410430839001,0.1024421458505094
gaussdist_hard_equal,DISTRAND,0.855,0.0644396549944401,0.6692403628117914,0.0850149881374091
gaussdist_hard_variable,TC-BKME-PMAL,0.8694444444444445,0.0413879567381981,0.7661507936507937,0.1112104139197617
gaussdist_hard_variable,TC-noReliability,0.855,0.0455724900773685,0.7367800453514738,0.1102147381566465
gaussdist_hard_variable,TC-noDensity,0.8744444444444447,0.0400578285685785,0.7456009070294783,0.1103281780146062
gaussdist_hard_variable,PMARLDS-lite,0.868888888888889,0.0413095809889362,0.7415532879818594,0.1099912319425493
gaussdist_hard_variable,DISTMARGIN,0.8652777777777777,0.0632973825839213,0.7649376417233559,0.1099689960759133
gaussdist_hard_variable,HILB-DENSITY,0.5086111111111111,0.0257435716535503,0.5041666666666667,0.1027531321346759
gaussdist_hard_variable,DISTRAND,0.8438888888888886,0.047104428247181,0.6644444444444445,0.0856040937267243
gaussdist_variable,TC-BKME-PMAL,0.9825000000000004,0.0175264350603859,0.9278571428571432,0.1076345437020063
gaussdist_variable,TC-noReliability,0.9819444444444444,0.0200789337427791,0.9219784580498868,0.1079132581781596
gaussdist_variable,TC-noDensity,0.9827777777777782,0.0174713168816848,0.9300396825396826,0.1069161258172243
gaussdist_variable,PMARLDS-lite,0.9836111111111112,0.0185696054592869,0.9280272108843538,0.107314922073856
gaussdist_variable,DISTMARGIN,0.9825000000000004,0.0170805101551591,0.9307256235827668,0.1071898056659847
gaussdist_variable,HILB-DENSITY,0.821111111111111,0.1494237903943092,0.5727947845804989,0.0992947800736874
