dataset,repeat,method,final_accuracy,AULC,runtime_seconds
gaussdist_variable,30,PMARLDS-lite,0.9861111111111112,0.9458616780045352,0.10452819988131523
gaussdist_variable,30,DISTMARGIN,0.9861111111111112,0.951530612244898,0.10601420048624277
gaussdist_variable,30,HILB-DENSITY,0.9583333333333334,0.6264172335600906,0.09741300251334906
gaussdist_variable,30,DISTRAND,0.9722222222222222,0.9509637188208616,0.08166840253397822
gaussdist_variable,31,TC-BKME-PMAL,0.9583333333333334,0.9138321995464853,0.10790919838473201
gaussdist_variable,31,TC-noReliability,0.9722222222222222,0.9257369614512472,0.10464490018785
gaussdist_variable,31,TC-noDensity,0.9722222222222222,0.9169501133786847,0.10474320175126195
gaussdist_variable,31,PMARLDS-lite,0.9722222222222222,0.9209183673469387,0.10650799935683608
gaussdist_variable,31,DISTMARGIN,0.9722222222222222,0.9237528344671203,0.10731880087405443
gaussdist_variable,31,HILB-DENSITY,0.625,0.5099206349206349,0.0956687000580132
gaussdist_variable,31,DISTRAND,0.9722222222222222,0.9248866213151928,0.08133540116250515
gaussdist_variable,32,TC-BKME-PMAL,0.9722222222222222,0.9410430839002267,0.10773980105295777
gaussdist_variable,32,TC-noReliability,0.9861111111111112,0.9455782312925172,0.11004429869353771
gaussdist_variable,32,TC-noDensity,0.9861111111111112,0.9302721088435375,0.10706090275198221
gaussdist_variable,32,PMARLDS-lite,0.9722222222222222,0.9458616780045351,0.10595960170030594
gaussdist_variable,32,DISTMARGIN,0.9722222222222222,0.9359410430839002,0.10626549972221255
gaussdist_variable,32,HILB-DENSITY,0.7638888888888888,0.5592403628117915,0.10044419951736927
gaussdist_variable,32,DISTRAND,0.9722222222222222,0.901077097505669,0.084178002551198
gaussdist_variable,33,TC-BKME-PMAL,1.0,0.943310657596372,0.10564479790627956
gaussdist_variable,33,TC-noReliability,1.0,0.9407596371882087,0.10567780118435621
gaussdist_variable,33,TC-noDensity,1.0,0.953798185941043,0.10573340207338333
gaussdist_variable,33,PMARLDS-lite,1.0,0.9396258503401361,0.10604349942877889
gaussdist_variable,33,DISTMARGIN,1.0,0.9438775510204082,0.10559120029211044
gaussdist_variable,33,HILB-DENSITY,0.6388888888888888,0.5153061224489796,0.0976213994435966
gaussdist_variable,33,DISTRAND,1.0,0.8690476190476191,0.08029700024053454
gaussdist_variable,34,TC-BKME-PMAL,0.9305555555555556,0.9178004535147393,0.10850429907441139
gaussdist_variable,34,TC-noReliability,0.9166666666666666,0.861111111111111,0.11541579850018024
gaussdist_variable,34,TC-noDensity,0.9305555555555556,0.9143990929705216,0.11085879942402244
gaussdist_variable,34,PMARLDS-lite,1.0,0.9160997732426305,0.11145220045000315
gaussdist_variable,34,DISTMARGIN,0.9861111111111112,0.90702947845805,0.11258960235863924
gaussdist_variable,34,HILB-DENSITY,0.9583333333333334,0.6556122448979592,0.10641180211678147
gaussdist_variable,34,DISTRAND,0.9444444444444444,0.8594104308390024,0.08384189801290631
gaussdist_variable,35,TC-BKME-PMAL,1.0,0.9294217687074829,0.1061925976537168
gaussdist_variable,35,TC-noReliability,0.9722222222222222,0.8993764172335601,0.10777329793199897
gaussdist_variable,35,TC-noDensity,0.9861111111111112,0.943310657596372,0.10284609952941537
gaussdist_variable,35,PMARLDS-lite,1.0,0.9319727891156464,0.10376989934593439
gaussdist_variable,35,DISTMARGIN,0.9861111111111112,0.911281179138322,0.10527440113946795
gaussdist_variable,35,HILB-DENSITY,0.9722222222222222,0.649092970521542,0.09781840117648244
gaussdist_variable,35,DISTRAND,0.9722222222222222,0.886904761904762,0.08086860179901123
gaussdist_variable,36,TC-BKME-PMAL,0.9722222222222222,0.9030612244897959,0.10633730096742511
gaussdist_variable,36,TC-noReliability,0.9722222222222222,0.9044784580498866,0.10724740149453282
gaussdist_variable,36,TC-noDensity,0.9722222222222222,0.9203514739229025,0.10809759981930256
gaussdist_variable,36,PMARLDS-lite,0.9722222222222222,0.9044784580498866,0.10810429695993662
gaussdist_variable,36,DISTMARGIN,0.9722222222222222,0.9319727891156462,0.10868830047547817
gaussdist_variable,36,HILB-DENSITY,0.9444444444444444,0.5575396825396826,0.10153349954634905
gaussdist_variable,36,DISTRAND,0.9722222222222222,0.8846371882086168,0.08460459858179092
gaussdist_variable,37,TC-BKME-PMAL,1.0,0.9237528344671201,0.10758650163188577
gaussdist_variable,37,TC-noReliability,0.9722222222222222,0.9481292517006803,0.10808260180056095
gaussdist_variable,37,TC-noDensity,1.0,0.9359410430839002,0.10740419756621122
gaussdist_variable,37,PMARLDS-lite,1.0,0.9339569160997732,0.10989250103011727
gaussdist_variable,37,DISTMARGIN,1.0,0.9336734693877551,0.11132639646530151
gaussdist_variable,37,HILB-DENSITY,0.9027777777777778,0.558390022675737,0.10200099879875779
gaussdist_variable,37,DISTRAND,1.0,0.8843537414965987,0.08447299897670746
gaussdist_variable,38,TC-BKME-PMAL,0.9861111111111112,0.9002267573696145,0.10953709995374084
gaussdist_variable,38,TC-noReliability,0.9444444444444444,0.8727324263038548,0.11134190205484629
gaussdist_variable,38,TC-noDensity,0.9861111111111112,0.9172335600907031,0.10635329829528928
gaussdist_variable,38,PMARLDS-lite,0.9583333333333334,0.9036281179138322,0.10579810198396444
gaussdist_variable,38,DISTMARGIN,0.9722222222222222,0.8903061224489796,0.10488810110837221
gaussdist_variable,38,HILB-DENSITY,0.875,0.5813492063492064,0.09907460026443005
gaussdist_variable,38,DISTRAND,0.9444444444444444,0.8562925170068026,0.08314900053665042
gaussdist_variable,39,TC-BKME-PMAL,0.9722222222222222,0.8917233560090703,0.10924789914861321
gaussdist_variable,39,TC-noReliability,0.9722222222222222,0.9036281179138322,0.10956949973478913
gaussdist_variable,39,TC-noDensity,0.9583333333333334,0.9024943310657596,0.10786129767075181
gaussdist_variable,39,PMARLDS-lite,0.9722222222222222,0.9090136054421768,0.10732420114800334
gaussdist_variable,39,DISTMARGIN,0.9583333333333334,0.9251700680272109,0.10696269758045673
gaussdist_variable,39,HILB-DENSITY,0.7916666666666666,0.5269274376417235,0.09568179911002517
gaussdist_variable,39,DISTRAND,0.9583333333333334,0.8959750566893424,0.08076429925858974
gaussdist_variable,40,TC-BKME-PMAL,1.0,0.9537981859410432,0.10660059750080109
gaussdist_variable,40,TC-noReliability,1.0,0.949546485260771,0.10692890034988523
gaussdist_variable,40,TC-noDensity,1.0,0.9591836734693877,0.10405829921364784
gaussdist_variable,40,PMARLDS-lite,1.0,0.951530612244898,0.10692069958895445
gaussdist_variable,40,DISTMARGIN,1.0,0.9396258503401361,0.1038599000312388
gaussdist_variable,40,HILB-DENSITY,0.8888888888888888,0.5904195011337868,0.09569220058619976
gaussdist_variable,40,DISTRAND,1.0,0.9126984126984128,0.08486990071833134
gaussdist_variable,41,TC-BKME-PMAL,0.9861111111111112,0.9421768707482994,0.10845669778063893
gaussdist_variable,41,TC-noReliability,1.0,0.929705215419501,0.1095511014573276
gaussdist_variable,41,TC-noDensity,0.9861111111111112,0.9430272108843539,0.10841209953650832
gaussdist_variable,41,PMARLDS-lite,0.9861111111111112,0.9376417233560091,0.11000329768285155
gaussdist_variable,41,DISTMARGIN,1.0,0.953798185941043,0.10636530024930835
gaussdist_variable,41,HILB-DENSITY,0.7916666666666666,0.5340136054421769,0.10118780145421624
gaussdist_variable,41,DISTRAND,0.9722222222222222,0.9118480725623583,0.0870173997245729
gaussdist_variable,42,TC-BKME-PMAL,1.0,0.9098639455782314,0.10281109903007746
gaussdist_variable,42,TC-noReliability,1.0,0.9095804988662132,0.10908570140600204
gaussdist_variable,42,TC-noDensity,1.0,0.9067460317460317,0.10761190066114068
gaussdist_variable,42,PMARLDS-lite,1.0,0.9126984126984128,0.10836130054667592
gaussdist_variable,42,DISTMARGIN,1.0,0.9183673469387755,0.10374750150367618
gaussdist_variable,42,HILB-DENSITY,0.5,0.5065192743764172,0.09457219857722521
gaussdist_variable,42,DISTRAND,0.9722222222222222,0.9044784580498866,0.0800042012706399
gaussdist_variable,43,TC-BKME-PMAL,0.9861111111111112,0.9404761904761906,0.10435919975861907
gaussdist_variable,43,TC-noReliability,0.9861111111111112,0.9248866213151928,0.10449719848111272
gaussdist_variable,43,TC-noDensity,0.9861111111111112,0.9328231292517009,0.10549020115286112
gaussdist_variable,43,PMARLDS-lite,0.9861111111111112,0.9328231292517007,0.10452410159632564
