date,avg_heart_rate,max_heart_rate,min_heart_rate,avg_spo2,max_spo2,min_spo2,daily_step_count,shoulder_asymmetry,slouch_angle,Jitter,Shimmer,HNR,F1,F2
5/2/2026,81.97,126,47,97.69,99,92,7029,1.592255749,178.3276177,0.004503192,0.050231847,19.19690481,614.110216,1196.575069
5/3/2026,82.21,131,46,97.94,99,96,7029,1.592690653,178.4212703,0.004461929,0.051176335,19.08862058,615.2281646,1200.245429
5/4/2026,63.69,113,48,97.77,99,96,7206,1.593125556,178.514923,0.004420667,0.052120823,18.98033635,616.3461132,1203.915788
5/5/2026,87.46,179,47,97.51,99,93,7206,1.593560459,178.6085756,0.004379404,0.05306531,18.87205212,617.4640617,1207.586148
5/6/2026,88.73,181,52,97.47,99,96,5849,1.593995363,178.7022283,0.004338141,0.054009798,18.76376789,618.5820103,1211.256507
5/7/2026,114.83,167,77,97.33,99,96,3986,1.594430266,178.7958809,0.004296878,0.054954286,18.65548367,619.6999589,1214.926867
5/8/2026,114.35,178,53,97.81,99,96,5544,1.594865169,178.8895336,0.004255615,0.055898774,18.54719944,620.8179074,1218.597226
5/9/2026,82.54,147,48,97.79,99,96,5544,1.595300073,178.9831862,0.004214352,0.056843262,18.43891521,621.935856,1222.267586
5/10/2026,75.53,108,55,97.73,99,97,5774,1.595734976,179.0768389,0.00417309,0.05778775,18.33063098,623.0538046,1225.937945
5/11/2026,85.82,175,48,98,99,96,6670,1.59616988,179.1704915,0.004131827,0.058732238,18.22234676,624.1717531,1229.608305
5/12/2026,82.28,166,49,97.52,99,96,6670,1.596604783,179.2641442,0.004090564,0.059676726,18.11406253,625.2897017,1233.278664
5/13/2026,96.63,126,64,96.62,99,93,3554,1.597039686,179.3577968,0.004049301,0.060621214,18.0057783,626.4076503,1236.949024
5/14/2026,65.91,133,52,97.78,99,96,5986,1.59747459,179.4514495,0.004008038,0.061565702,17.89749407,627.5255988,1240.619383
5/15/2026,139,179,87,98,98,98,4876,1.597909493,179.5451021,0.003966775,0.06251019,17.78920984,628.6435474,1244.289743
5/16/2026,139,179,87,97.82,99,96,3276,1.598344397,179.6387548,0.003925513,0.063454678,17.68092562,629.761496,1247.960102
5/20/2026,139,179,87,97.82,99,96,4176,1.5987793,179.7324074,0.00388425,0.064399166,17.57264139,630.8794445,1251.630462
5/21/2026,139,179,87,97.82,99,96,3876,1.5987793,179.7324074,0.003842987,0.065343654,17.46435716,631.9973931,1255.300821
5/22/2026,139,179,87,97.82,99,96,5173,1.5987793,179.7324074,0.006006123,0.053643064,16.19641869,579.6659775,1150.9181
